user,credit_score
0x00000000001accfa9cef68cf5371a23025b6d4b6,100.50472588296697
0x000000000051d07a4fb3bd10121a343d85818da6,100.50472588296697
0x000000000096026fb41fc39f9875d164bd82e2dc,109.64412469179103
0x0000000002032370b971dabd36d72f3e5a7bf1ee,612.3903317446915
0x000000000a38444e0a6e37d3b630d7e855a7cb13,596.1776991297195
0x000000003853fcedcd0355fec98ca3192833f00b,112.12221551315967
0x000000003ce0cf2c037493b1dc087204bd7f713e,637.5175845352778
0x000000007858e6f2668e1e06111cfa24403a5466,100.50472588296697
0x00000001a0f57e850c9db68b4a9bc34677437c5c,100.50472588296697
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,607.5773382784533
0x00000029ff545c86524ade7caf132527707948c4,502.5901915935393
0x00000087c4cebffb95746d1935de7fbcab092f40,588.1081604060536
0x000000e28faa823d5b53ff6c2922c28335840375,751.9577929787172
0x000006eee6e39015cb523aebdd4d0b1855aba682,564.2801496442264
0x00000a9c78912badb92d73b6ed26456e11def5eb,100.50472588296697
0x00002b503a75998c97508916a74fdb41934fa030,697.0857187685666
0x0000897253cc85f7547317eb2080b36b3255687a,162.75502172316726
0x0000b252c943089fbba5554a1d196ef79bc77e4f,100.50472588296697
0x0000ce08fa224696a819877070bf378e8b131acf,305.78485758565694
0x00010a708585ba4812a1c5976182626c75cb7a6b,673.7855384379957
0x00016fc0c9f7620e920e1423fd455f9574f48025,102.16436725870878
0x0002761e848b24046a53d494847b11a3e1d36b09,100.50472588296697
0x00027e45436f11ec8549b7d5e0b86748ee61c13d,109.64412469179103
0x0003816b25fd3d6c112eb65c089760fa3f791947,491.9810186368213
0x0003bbb966655dc0fbbb380797b07fc547e9ddc5,342.40291859116576
0x0003d4fb942d0cad7fa1b658ad6d46ef6c15f11b,158.10298921626892
0x0003f46779806fe779e7f30eec95dbdb4d45840b,642.9147561348186
0x0004849537dab5c33fc8c494d05313dfbe2d99f3,719.1816772106858
0x0004a89403e17f544bfbd25ecb1a7d9215a1d61b,158.97912521680655
0x0004d4112ee696dabc22b221bef156ecdaeb1a59,490.8796003752492
0x0005696d4be2359526c497fe4a4c0620b41f2426,491.0718633409081
0x000660cad76200a2e326f53e033919905e6c50f5,100.50472588296697
0x00069a4bf1b2a8d5eded8e91347dbaa70796ff54,100.50472588296697
0x00080000158a9930aeb508823103b0a977161c47,111.97521649564383
0x00099b1263c22ae2ce0a52624cef2a012e751970,109.64412469179103
0x0009ce45d5df78e632a0b4987079432dfba2253a,100.50472588296697
0x000a27ba176083e4b50177378cbe7469a00dd557,540.9661496492746
0x000a3d1bef684a7c029267a26068de56b1c1b4dc,321.58063535598023
0x000ab43e658935ba39504a1424b01756c1e9644c,158.97912521680655
0x000bc61d0a2dfee19346ad4d1fce2fa3c099e0cb,324.77958558017724
0x000c8e2871750f458bf1de8ab528dda09bc95db6,491.9806341044481
0x000cdb5d7a2cda2947603f2993f05db57e3197dc,622.6220175288901
0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,545.9137706361347
0x000d0ccd6b0e27ce38018b1304ef4f2cd345b636,100.50472588296697
0x000dd5baf04ffe492508f5f45ac3d9374b193f57,100.50472588296697
0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,587.6729640276918
0x000df66a4ac5991f672ae2db1e8fc38f1e7d46d9,184.89306262485104
0x000e840a3122ec28d0c29321db172375cb049762,536.7519483653442
0x000e9bd1d42999446d60ff60f1fb3afb13604202,497.29181780149634
0x000eab293e332bd6e67018a9150e8807bfac3233,100.50472588296697
0x000f3b3cba440b4bd611d2ac4b6271400fb1e4e1,176.80238279897458
0x000f4432a40560bbff1b581a8b7aded8dab80026,542.7167269869855
0x000f7f22bfc28d940d4b68e13213ab17cf107790,510.4327662526218
0x000f908720f9ce164d90f4fc89459fab4442907f,500.3334648549757
0x000fbfec300959d0f2f327728a889c1f5de8e2df,512.5373547731924
0x0011730224657eb527cf736039854c3a3f140e63,491.9806341044481
0x00120ea6fdbaf057eadc1bd149f957488444e92c,434.10145050504707
0x0012668072f7e0579caf7e047713d8b6d476d0db,103.5799108661405
0x00129c4ce6be31b273de64c65ff3fcdd4706a002,476.70412334148165
0x00130437654e7e86cbbeeaf34f4771df6a1fb45c,100.50472588296697
0x00133f29e7d424f4e5773532b3fc35d020e9c54e,108.46989161090885
